AREA,TRATAMENTOS,SISTEMA,REP,COL, S, N,H
C1a1,20F,cafe,1,A,10,17,2.115
C1a2,20F,cafe,2,A,14,37,1.828
C1a3,20F,cafe,3,A,12,35,1.533
C1a4,20F,cafe,4,A,19,45,2.332
C1b1,20F,cafe,1,B,14,36,1.731
C1b2,20F,cafe,2,B,7,23,1.041
C1b3,20F,cafe,3,B,11,22,1.829
C1b4,20F,cafe,4,B,6,6,1.792
C1c1,20F,cafe,1,C,5,24,0.8948
C1c2,20F,cafe,2,C,9,27,1.224
C1c3,20F,cafe,3,C,8,14,1.909
C1c4,20F,cafe,4,C,2,12,0.2868
C2a 1 ,40F,cafe,1,A,16,49,1.634
C2a 2 ,40F,cafe,2,A,20,50,2.069
C2a 3 ,40F,cafe,3,A,3,3,1.099
C2c1,40F,cafe,1,C,10,22,1.855
C2c2,40F,cafe,2,C,10,35,1.217
C2c3,40F,cafe,3,C,13,31,2.019
C2c4,40F,cafe,4,C,18,25,2.71
C3a1,60F,cafe,1,A,7,8,1.906
C3a2,60F,cafe,2,A,6,6,1.792
C3a3,60F,cafe,3,A,13,20,2.415
C3a4,60F,cafe,4,A,16,17,2.752
C3b1,60F,cafe,1,B,11,16,2.307
C3b2,60F,cafe,2,B,5,9,1.303
C3b3,60F,cafe,3,B,3,3,1.099
C3b4,60F,cafe,4,B,7,7,1.946
C3c1,60F,cafe,1,C,1,1,0
C3c2,60F,cafe,2,C,4,4,1.386
C3c3,60F,cafe,3,C,3,4,1.04
C3c4,60F,cafe,4,C,7,9,1.889
F1b1,20F,floresta,1,B,4,6,1.33
F1b2,20F,floresta,2,B,7,7,1.946
F1b3,20F,floresta,3,B,4,4,1.386
F1b4,20F,floresta,4,B,12,14,2.441
F1c1,20F,floresta,1,C,11,13,2.352
F1c2,20F,floresta,2,C,15,20,2.623
F1c3,20F,floresta,3,C,5,6,1.561
F1c4,20F,floresta,4,C,13,15,2.523
F2a1,40F,floresta,1,A,3,9,0.995
F2a2,40F,floresta,2,A,5,7,1.475
F2a3,40F,floresta,3,A,8,9,2.043
F2a4,40F,floresta,4,A,8,9,2.043
F2b1,40F,floresta,1,B,8,31,1.465
F2b2,40F,floresta,2,B,6,7,1.748
F2b3,40F,floresta,3,B,8,9,2.043
F2c1,40F,floresta,1,C,5,7,1.55
F2c2,40F,floresta,2,C,5,7,1.55
F2c3,40F,floresta,3,C,16,16,2.773
F2c4,40F,floresta,4,C,6,6,1.792
F3b1,60F,floresta,1,B,6,7,1.748
F3b2,60F,floresta,2,B,10,12,2.254
F3b3,60F,floresta,3,B,3,3,1.099
F3b4,60F,floresta,4,B,6,6,1.792
F3c1,60F,floresta,1,C,23,48,2.799
F3c2,60F,floresta,2,C,14,27,2.361
F3c3,60F,floresta,3,C,19,29,2.803
F3c4,60F,floresta,4,C,24,46,2.707
F4a1,80F,floresta,1,A,27,47,3.061
F4a2,80F,floresta,2,A,14,18,2.524
F4a3,80F,floresta,3,A,28,73,2.723
F4a4,80F,floresta,4,A,17,40,2.423
F4b1,80F,floresta,1,B,13,31,2.408
F4b2,80F,floresta,2,B,6,10,1.643
F4b3,80F,floresta,3,B,5,10,1.557
F4b4,80F,floresta,4,B,8,17,1.844
F4c1,80F,floresta,1,C,1,1,0
F4c2,80F,floresta,2,C,1,1,0
F4c3,80F,floresta,3,C,2,2,0.6931
S1a1,20F,silvicultura,1,A,18,23,2.811
S1a2,20F,silvicultura,2,A,16,26,2.631
S1a3,20F,silvicultura,3,A,7,9,1.831
S1a4,20F,silvicultura,4,A,9,13,2.098
S1b1,20F,silvicultura,1,B,17,47,2.44
S1b2,20F,silvicultura,2,B,17,38,2.366
S1b3,20F,silvicultura,3,B,9,25,1.847
S1b4,20F,silvicultura,4,B,20,55,2.48
S1c1,20F,silvicultura,1,C,13,28,2.313
S1c2,20F,silvicultura,2,C,6,9,1.677
S1c3,20F,silvicultura,3,C,2,5,0.5004
S1c4,20F,silvicultura,4,C,9,14,2.045
S2a1,40F,silvicultura,1,A,2,2,0.6931
S2a2,40F,silvicultura,2,A,8,11,1.972
S2a3,40F,silvicultura,3,A,7,9,1.889
S2b1,40F,silvicultura,1,B,7,14,1.567
S2b2,40F,silvicultura,2,B,7,15,1.58
S2b3,40F,silvicultura,3,B,22,56,2.835
S2b4,40F,silvicultura,4,B,16,22,2.626
S2c1,40F,silvicultura,1,C,11,23,2.22
S2c2,40F,silvicultura,2,C,8,10,2.025
