TRATAMENTOS,SISTEMA,S,N,H
20F,café,37,18,3.386
20F,café,33,10,3.441
20F,café,15,6,2.609
20F,floresta,26,8,3.194
20F,floresta,33,14,3.358
20F,silvicultura,40,18,3.502
20F,silvicultura,47,41,3.09
20F,silvicultura,23,14,2.897
40F,café,33,15,3.414
40F,café,36,16,3.325
40F,floresta,21,9,2.792
40F,floresta,20,16,2.434
40F,floresta,26,9,3.145
40F,silvicultura,14,7,2.413
40F,silvicultura,43,27,3.355
40F,silvicultura,16,17,2.583
60F,café,31,13,3.233
60F,café,19,9,2.811
60F,café,15,5,2.659
60F,floresta,23,7,3.085
80F,floresta,63,45,3.411
80F,floresta,25,17,2.94
80F,floresta,4,1,1.386
